Country,League,Season,round,Date,Time,Home,Away,HG,AG,HxG,AxG,HExpG+,AExpG+,Res,PSCH,PSCD,PSCA
Mexico,Liga MX,2023/2024,15,2023/11/02,03:00,Tijuana,Tigres UANL,2,0,1,0.8,1.45,0.44,H,3.33,3.49,2.26
Mexico,Liga MX,2023/2024,15,2023/11/02,03:00,Atletico San Luis,Club America,0,1,0.8,1.1,0.44,1.055,A,4.69,4.16,1.74
Mexico,Liga MX,2023/2024,16,2023/11/04,03:00,Puebla,Leon,5,4,1.4,3.1,3.02,3.505,H,3.96,3.99,1.9
Mexico,Liga MX,2023/2024,16,2023/11/04,22:55,Tigres UANL,Atletico San Luis,2,2,1.9,0.8,1.945,1.34,D,1.45,4.88,7.41
Mexico,Liga MX,2023/2024,16,2023/11/05,03:05,Pachuca,Monterrey,0,2,1.3,0.5,0.715,1.175,A,2.79,3.49,2.61
Mexico,Liga MX,2023/2024,16,2023/11/05,03:05,Guadalajara,Cruz Azul,1,0,1.4,0.9,1.22,0.495,H,2.39,3.48,3.1
Mexico,Liga MX,2023/2024,16,2023/11/05,22:00,Necaxa,Mazatlan,4,0,1.8,0.9,2.79,0.495,H,2.62,3.63,2.71
Mexico,Liga MX,2023/2024,16,2023/11/05,18:00,UNAM Pumas,Atlas,3,0,3.9,0.3,3.495,0.165,H,1.88,3.77,4.3
Mexico,Liga MX,2023/2024,16,2023/11/05,01:00,Club America,Tijuana,3,0,3.4,0.2,3.22,0.11,H,1.36,5.62,8.32
Mexico,Liga MX,2023/2024,16,2023/11/06,02:06,FC Juarez,Queretaro,0,3,0.9,2.2,0.495,2.56,A,1.93,3.72,4.17
Mexico,Liga MX,2023/2024,16,2023/11/06,00:05,Santos Laguna,Toluca,3,1,2.3,1.7,2.615,1.385,H,2.08,3.92,3.4
Mexico,Liga MX,2023/2024,10,2023/11/09,02:00,Monterrey,Santos Laguna,3,0,2,0.1,2.45,0.055,H,1.77,4.21,4.4
